id,SalePrice
1461,124937.45102706228
1462,158828.9975025701
1463,181650.46169579535
1464,184152.7731167635
1465,196765.92448420567
1466,176636.59423945617
1467,167097.48734724548
1468,164958.1971532146
1469,185143.16942648837
1470,125492.16930662953
1471,202548.8872531515
1472,92167.9080840156
1473,95264.13967094626
1474,151450.08620035753
1475,139574.05379659514
1476,372240.948769887
1477,255180.51754403877
1478,295839.7404383733
1479,278873.6119694067
1480,508740.97489751875
1481,312041.118176011
1482,204972.3447558106
1483,165700.667623228
1484,174853.48080804368
1485,177934.62690219504
1486,189221.5067428582
1487,341665.97337843524
1488,242560.44914008077
1489,199215.12007582665
1490,195588.61153205263
1491,191439.1917091001
1492,93868.85433968231
1493,186268.50776634988
1494,307523.62579696334
1495,303402.3900625508
1496,235993.0223297372
1497,187418.55589852197
1498,160779.4715993879
1499,159576.1905578096
1500,139874.05911171966
1501,173556.22010140022
1502,157026.42207016342
1503,283869.08850964124
1504,246656.54880001012
1505,222649.3886359866
1506,182597.9152143078
1507,223641.7021746722
1508,202995.70840521355
1509,163013.40964619495
1510,146577.71204378238
1511,151438.8581729937
1512,169025.00584393542
1513,149913.47284040356
1514,158505.2733085598
1515,180512.82016061546
1516,159780.48471766541
1517,155242.17385433734
1518,141191.96605042784
1519,218006.68581665683
1520,139859.80395140738
1521,141539.89399073072
1522,163477.45257948045
1523,114899.22361007346
1524,122746.38614653601
1525,123352.6107967513
1526,122751.21419156686
1527,105085.7029099679
1528,135586.0649623862
1529,142424.49986955372
1530,168484.89484937539
1531,116244.20179810724
1532,107233.21783076791
1533,145178.1123299176
1534,118906.84396099139
1535,152695.8755450205
1536,113627.45311045992
1537,67606.62341094833
1538,170392.78791573338
1539,203350.38128205968
1540,102620.98307570204
1541,135646.19499083713
1542,142726.30387219257
1543,215603.00663985606
1544,76028.88945403107
1545,107184.37360637508
1546,121089.48991054659
1547,122964.99758459884
1548,131010.57550459751
1549,112899.9421859833
1550,136711.40717225499
1551,118806.03914268599
1552,143923.31355014496
1553,146245.50232749828
1554,114228.4095315516
1555,165311.44103858114
1556,89092.83249086197
1557,99733.82159598253
1558,90684.23518826543
1559,103772.18435069633
1560,137411.88875130733
1561,126978.7907669169
1562,128283.02095275765
1563,121098.2477385904
1564,159388.41140936725
1565,148049.0124475866
1566,242023.57934374912
1567,75862.64367632341
1568,222065.09544704837
1569,140991.3917042094
1570,130931.20017491159
1571,114958.12062024385
1572,149464.73754898866
1573,243999.20092647575
1574,96610.57190445322
1575,215019.79894479387
1576,211006.36332478118
1577,198625.92395795416
1578,142371.823265267
1579,139662.7727184436
1580,198028.85442290572
1581,149106.40637612966
1582,128813.70486750413
1583,327261.4008668517
1584,230148.7851199581
1585,140022.12765936
1586,73599.57560547304
1587,100621.82564664842
1588,148135.18554823205
1589,95452.10145940763
1590,130090.77238237287
1591,102740.29304637035
1592,113142.35868329543
1593,122238.12281543587
1594,117017.86235575737
1595,114711.02240277946
1596,227739.23678148678
1597,165986.03220989212
1598,188705.85823345763
1599,185313.99344718934
1600,186272.7118697208
1601,74023.0998088689
1602,113233.73432338977
1603,84056.0359152696
1604,285229.5004872458
1605,257965.06028092414
1606,166202.80351224326
1607,167514.1786264233
1608,220837.82791084284
1609,188592.28318187373
1610,149366.19313818088
1611,144963.11376817944
1612,163917.4764375932
1613,160913.90797108575
1614,121610.83083087063
1615,89106.84574514888
1616,81182.03065858834
1617,90110.33072481811
1618,126241.43423430104
1619,132119.25711335908
1620,148952.576547782
1621,134969.08153721492
1622,144897.70105188532
1623,280557.04128984764
1624,208073.80635143718
1625,128530.96506289445
1626,163267.64695055367
1627,187509.6441119358
1628,270359.0666768163
1629,185670.5460763363
1630,334278.1779057844
1631,216539.4048785232
1632,239167.5871595826
1633,179020.65199539767
1634,178458.13809404502
1635,177908.68122286908
1636,152727.14945572952
1637,187694.27390921477
1638,212545.1981525665
1639,179636.9106918373
1640,266832.54691100784
1641,180032.3398324538
1642,227898.5939940886
1643,235032.6355378671
1644,235115.31535119662
1645,186262.93477797473
1646,151230.2987558877
1647,175354.90088565857
1648,140569.7999351069
1649,137055.03999262565
1650,118573.68565108035
1651,124950.30774262722
1652,94402.20681475161
1653,92795.4059934302
1654,153013.5802384479
1655,159271.2662837331
1656,149949.34548527788
1657,153651.89774549566
1658,150055.23469781835
1659,147746.21958770684
1660,146667.5614852473
1661,446910.121198239
1662,402223.371841972
1663,393493.70815841015
1664,422776.6567528889
1665,307568.02051188727
1666,326467.2383149314
1667,371114.32959312724
1668,320013.45089514926
1669,295933.9135119573
1670,356276.4149931505
1671,262115.57601464438
1672,430750.72866308957
1673,294174.63439652463
1674,254734.70849209512
1675,171566.09989954403
1676,170646.55522775697
1677,211728.48216589793
1678,411607.43460967974
1679,388412.3409638616
1680,314887.2450882546
1681,245337.193551017
1682,315005.3531453933
